2014-08-15-15:59:59.982,4,129038,43,255,27,01,70,81,c4,0d,33,9f,e9,0e,6a,86,ba,23,ed,72,9b,a4,04,ec,5e,00,20,9c,00,00,00,fe
2014-08-15-16:00:00.076,6,129540,160,255,135,34,ff,0b,1b,5c,2e,cf,8d,74,0e,00,00,00,00,f2,16,39,28,7e,70,48,0d,00,00,00,00,f2,13,2e,26,e5,be,3c,0f,00,00,00,00,f2,12,d1,24,e8,37,e4,0c,00,00,00,00,f2,15,23,15,68,3f,e4,0c,00,00,00,00,f2,0f,ae,0f,a2,1c,b8,0b,00,00,00,00,f2,10,e9,0a,cf,8d,54,0b,00,00,00,00,f2,0b,d1,06,da,bc,e4,0c,00,00,00,00,f2,1e,23,06,d9,da,c4,09,00,00,00,00,f2,08,74,05,36,cd,1c,0c,00,00,00,00,f2,1a,17,04,23,06,10,0e,00,00,00,00,f2
2014-08-15-16:00:00.078,2,127250,160,255,8,ff,95,7a,ff,7f,a9,05,fc
2014-08-15-16:00:00.081,3,128267,115,255,8,00,e1,10,00,00,ff,ff,ff
2014-08-15-16:00:00.083,7,65370,115,255,8,3b,9f,40,82,ff,ff,ff,ff
2014-08-15-16:00:00.092,7,65370,115,255,8,3b,9f,40,82,ff,ff,ff,ff
2014-08-15-16:00:00.253,3,129029,160,255,43,e9,a9,3f,10,05,55,22,00,98,c7,61,47,08,55,08,00,7c,cc,29,91,b6,74,03,40,ba,fb,ff,ff,ff,ff,ff,10,fc,0b,50,00,ff,7f,ff,ff,ff,7f,00
2014-08-15-16:00:00.257,4,129039,43,255,26,12,44,11,b6,0d,dd,d0,d7,0e,5c,4d,c9,23,03,55,72,77,01,06,00,26,ff,ff,00,74,ff
2014-08-15-16:00:00.259,3,129033,160,255,8,a9,3f,10,05,55,22,b4,00
2014-08-15-16:00:00.338,3,126992,160,255,8,ff,ff,a9,3f,10,05,55,22
2014-08-15-16:00:00.362,7,129793,43,255,26,04,50,35,2a,00,d5,ff,32,0f,83,3d,8d,23,00,e0,c1,54,22,ca,08,02,a9,3f,00,00,fc
2014-08-15-16:00:00.374,2,128259,115,255,8,00,68,01,ff,ff,00,ff,ff
2014-08-15-16:00:00.402,4,129038,43,255,27,01,10,dc,6d,0f,1d,ce,17,0f,2a,26,b0,23,ed,6b,b2,64,02,0b,80,09,9f,b2,e6,ff,00,fe
2014-08-15-16:00:00.412,7,65306,115,255,8,3b,9f,b7,00,ff,ff,ff,ff
2014-08-15-16:00:00.415,7,65370,115,255,8,3b,9f,40,82,ff,ff,ff,ff
2014-08-15-16:00:00.417,2,128259,115,255,8,00,69,01,ff,ff,00,ff,ff
2014-08-15-16:00:00.442,4,129038,43,255,27,01,e0,a3,cb,0f,5f,ee,e2,0e,06,c8,db,23,01,1c,50,07,02,0d,80,00,72,50,00,00,00,fe
2014-08-15-16:00:00.444,5,130311,115,255,8,00,c0,53,7a,ff,7f,ff,ff
2014-08-15-16:00:00.447,2,128259,160,255,8,ff,ff,ff,7d,01,ff,ff,ff
2014-08-15-16:00:00.474,5,130311,115,255,8,00,c0,53,7a,ff,7f,ff,ff
2014-08-15-16:00:00.539,3,129291,160,255,8,ff,fc,ba,46,3f,00,ff,ff
2014-08-15-16:00:00.550,6,128275,115,255,14,ff,ff,ff,ff,ff,ff,7c,92,09,01,5b,a9,00,00
2014-08-15-16:00:00.553,7,130919,115,255,11,3b,9f,03,00,04,5a,a1,12,19,09,09
2014-08-15-16:00:00.555,7,130919,115,255,11,3b,9f,03,01,04,5a,a1,12,19,09,09
2014-08-15-16:00:00.559,7,130919,115,255,11,3b,9f,03,02,04,5a,a1,12,19,09,09
2014-08-15-16:00:00.749,3,130577,160,255,14,c0,e9,3e,74,7d,01,ff,ff,ff,ff,ba,46,3f,00
2014-08-15-16:00:00.751,2,129025,160,255,8,89,4c,c9,23,04,d1,d7,0e
2014-08-15-16:00:00.785,2,130306,115,255,8,00,48,04,8f,27,f2,ff,ff
2014-08-15-16:00:00.843,3,129283,160,255,8,ff,7f,ff,ff,ff,7f,ff,ff
2014-08-15-16:00:00.852,0,262386,0,0,33,01,0e,00,34,fd,01,00,00,00,00,00,02,04,04,00,00,00,00,00,00,00,00,0a,45,02,02,00,00,00,03,00,00,00
2014-08-15-16:00:00.856,7,65370,115,255,8,3b,9f,40,82,ff,ff,ff,ff
2014-08-15-16:00:00.944,2,129026,160,255,8,ff,fc,3e,74,7d,01,ff,ff
2014-08-15-16:00:01.078,6,129540,160,255,135,35,ff,0b,1b,5c,2e,cf,8d,10,0e,00,00,00,00,f2,16,39,28,7e,70,48,0d,00,00,00,00,f2,13,2e,26,e5,be,3c,0f,00,00,00,00,f2,12,d1,24,e8,37,e4,0c,00,00,00,00,f2,15,23,15,68,3f,e4,0c,00,00,00,00,f2,0f,ae,0f,a2,1c,54,0b,00,00,00,00,f2,10,e9,0a,cf,8d,f0,0a,00,00,00,00,f2,0b,d1,06,da,bc,e4,0c,00,00,00,00,f2,1e,23,06,d9,da,c4,09,00,00,00,00,f2,08,74,05,36,cd,1c,0c,00,00,00,00,f2,1a,17,04,23,06,b8,0b,00,00,00,00,f2
